ticker,year,month,ret_monthly,n_days,first_close,last_close
آبادا,2024,3,0.10557769,17,9828.32,10748.21
آبادا,2024,4,0.01261261,20,10370.57,10883.78
آبادا,2024,5,-0.10498221,18,10845.04,9741.17
آبادا,2024,6,-0.08151093,17,9624.98,8947.16
آبادا,2024,7,-0.08248299,17,8879.38,8209.17
آبادا,2024,8,-0.06035503,19,8160.6,7713.71
آبادا,2024,9,0.17758186,19,7762.28,9083.52
آبادا,2024,10,-0.07593583,21,9083.52,8393.76
آبادا,2024,11,0.14699074,17,8316.04,9627.56
آبادا,2024,12,0.03128153,23,9588.7,9928.73
آبادا,2025,1,-0.00195695,19,9676.14,9909.3
آبادا,2025,2,-0.06764706,17,9773.29,9238.96
آبادا,2025,3,-0.13038906,17,9132.1,8034.3
آبادا,2025,4,0.13301088,20,8044.02,9102.95
آبادا,2025,5,0.03628602,21,8898.94,9433.26
آبادا,2025,6,-0.16271885,9,9355.54,7898.29
آبادا,2025,7,-0.0799508,20,7869.15,7266.82
آبادا,2025,8,-0.13368984,21,7101.66,6295.32
آبادا,2025,9,-0.02777778,20,6353.61,6120.45
آبادا,2025,10,0.14444444,21,6062.16,7004.51
آبادا,2025,11,-0.06796117,21,6936.51,6528.48
آبادا,2025,12,0.20238095,23,6547.91,7849.72
آبادا,2026,1,-0.0519802,19,7616.56,7441.69
آبادا,2026,2,-0.13446475,17,7237.67,6441.04
آبادا,2026,5,0.21266968,8,6392.47,7810.86
آبادا,2026,6,0.12407636,15,7946.87,8780.0
آبادا,2026,7,-0.0785877,11,9040.0,8090.0
آلومینا,2025,2,0.0,1,51188.38,51188.38
آلومینا,2025,3,0.18170732,18,52715.36,65461.99
آلومینا,2025,4,0.16702355,20,66200.24,76395.68
آلومینا,2025,5,0.12721713,21,76844.24,86114.52
آلومینا,2025,6,0.09279161,11,88693.75,97655.64
آلومینا,2025,7,0.01499895,17,94730.64,99120.37
آلومینا,2025,8,-0.01466042,21,96154.77,97667.23
آلومینا,2025,9,-0.03370445,20,100178.1,94375.41
آلومینا,2025,10,0.1575364,21,94306.21,109242.97
آلومینا,2025,11,0.02370826,21,106850.71,111832.93
آلومینا,2025,12,0.20392469,23,111111.3,134638.42
آلومینا,2026,1,-0.14779736,19,135537.99,114739.22
آلومینا,2026,2,-0.04790213,17,112920.32,109242.97
آلومینا,2026,5,0.34639399,5,141914.04,147084.07
آلومینا,2026,6,-0.03891391,21,145729.78,141360.46
آلومینا,2026,7,-0.14686185,8,137200.0,120600.0
آپ,2016,10,0.44451827,11,3187.78,5059.51
آپ,2016,11,-0.0226213,19,4985.87,4945.06
آپ,2016,12,-0.0550577,20,4766.84,4672.79
آپ,2017,1,0.01589684,22,4623.38,4747.08
آپ,2017,2,0.00456682,20,4778.96,4768.76
آپ,2017,3,0.27456879,17,4742.3,6078.11
آپ,2017,4,0.27873066,18,6222.53,7772.26
آپ,2017,5,0.00924319,20,7819.77,7844.1
آپ,2017,6,0.00930331,16,8196.66,7917.08
آپ,2017,7,0.02516941,22,7925.08,8116.35
آپ,2017,8,-0.05620561,21,8127.34,7660.16
آپ,2017,9,0.18409605,13,7684.82,9070.37
آپ,2017,10,0.03210874,22,8879.1,9361.61
آپ,2017,11,0.04726988,19,9422.92,9804.13
آپ,2017,12,0.02175243,21,9940.75,10017.39
آپ,2018,1,0.20670614,23,10124.69,12088.05
آپ,2018,2,-0.00137832,18,11854.13,12071.39
آپ,2018,3,0.02567217,17,11630.2,12381.29
آپ,2018,4,-0.1046399,19,12443.27,11085.71
آپ,2018,5,0.07015751,16,11394.28,11863.46
آپ,2018,6,0.03259543,14,11867.59,12250.15
آپ,2018,7,-0.17960837,22,12267.38,10049.92
آپ,2018,8,-0.06893004,20,10004.43,9357.18
آپ,2018,9,0.22158379,21,9373.72,11430.58
آپ,2018,10,-0.20002412,22,11485.72,9144.19
آپ,2018,11,0.10500528,18,9324.78,10104.38
آپ,2018,12,0.05948564,23,9800.4,10705.44
آپ,2019,1,0.03901874,7,10642.72,11123.15
آپ,2019,2,-0.09401429,18,11634.61,10077.42
آپ,2019,3,0.18388617,19,10167.84,11930.52
آپ,2019,4,0.04302228,18,12335.11,12443.8
آپ,2019,5,0.08521101,20,13022.83,13504.14
آپ,2019,6,-0.00412552,19,13663.97,13448.43
آپ,2019,7,-0.02010087,19,13351.62,13178.11
آپ,2019,8,0.06552102,19,12916.95,14041.55
آپ,2019,9,0.12950381,20,14210.19,15859.98
آپ,2019,10,-0.14011423,19,15514.03,13637.77
آپ,2019,11,0.1361645,20,14173.57,15494.76
آپ,2019,12,0.1326575,23,15263.48,17550.25
آپ,2020,1,-0.00505161,19,17418.23,17461.59
آپ,2020,2,0.14834437,20,17538.69,20051.92
آپ,2020,3,0.17872933,18,21050.28,23635.79
آپ,2020,4,0.36372161,20,24720.88,32232.64
آپ,2020,5,-0.11199474,20,33830.39,28622.75
آپ,2020,6,0.38845869,20,28180.43,39741.51
آپ,2020,7,-0.12075655,21,38768.21,34942.46
آپ,2020,8,-0.24158853,20,35511.02,26500.76
آپ,2020,9,-0.35469533,17,25180.54,17101.07
آپ,2020,10,-0.12846633,19,17943.05,14904.16
آپ,2020,11,0.22662338,21,14265.41,18281.79
آپ,2020,12,0.19481207,22,17894.66,21843.3
آپ,2021,1,-0.26140895,21,22675.61,16133.26
آپ,2021,2,0.09718056,19,16733.3,17701.1
آپ,2021,3,-0.0442865,17,17691.43,16917.18
آپ,2021,4,-0.00400458,20,16907.51,16849.44
آپ,2021,5,-0.07007467,22,16849.44,15668.72
آپ,2021,6,0.17850525,20,15029.97,18465.67
آپ,2021,7,0.17714885,13,19259.27,21736.84
آپ,2021,8,-0.28150134,18,10577.04,15617.89
آپ,2021,9,-0.31281095,20,15734.44,10732.44
آپ,2021,10,0.02895928,20,10334.23,11043.25
آپ,2021,11,0.08619173,22,10683.88,11995.08
آپ,2021,12,-0.19433198,21,12393.3,9664.06
