formation_year,year,month,Mkt_RF,ME,IA,ROE
2021,2021,8,0.08155014,-0.0382266611099472,0.177988906836207,0.1761891989713245
2021,2021,9,-0.0779321,-0.01807069069854471,0.07619541855094951,0.1007407744874556
2021,2021,10,-0.11373187,-0.04623730648776005,0.0025381489956288056,0.08691009045072196
2021,2021,11,0.01711111,-0.01355717944856405,0.055210394927973604,-0.05299433472127897
2021,2021,12,-0.01379161,-0.012935906158278884,-0.015493638260446883,0.0313679856612765
2021,2022,1,-0.10029265,-0.029675642179641,-0.010030079520082946,0.016611966208016568
2021,2022,2,-0.01910939,0.05260177219921937,-0.01599730258986643,-0.030601906574380368
2021,2022,3,0.10813497,-0.04903655225213486,-0.06434892858845313,-0.0383558906375413
2021,2022,4,0.09078961,0.046391329620251616,-0.03050675648988385,-0.05116528255430916
2021,2022,5,-0.02111599,0.10073726883334119,0.05705418402552702,0.07935608070976329
2021,2022,6,-0.03885368,0.01187828208371194,-0.021011695563084912,-0.02940454440194332
2022,2022,7,-0.08997282,-0.021153089820226484,0.04510552369276248,0.07955875314472592
2022,2022,8,-0.02459695,0.1276106026385206,-0.11651499370871739,-0.1119406684692813
2022,2022,9,-0.08240122,0.027030985709583965,-0.01837174856238582,-0.01037906123965373
2022,2022,10,-0.07642958,-0.014729408396068632,0.03135551522857735,0.04699784465473763
2022,2022,11,0.1046205,0.04323635208304151,-0.036186138729570744,-0.035686449619587335
2022,2022,12,0.10644424,0.01761038394371424,0.024340111573255385,-0.04448559005563786
2022,2023,1,-0.04059216,0.08685206471433626,-0.05055973448733159,-0.004783453417542542
2022,2023,2,0.1651818,-0.09213359394812318,0.09746539643626187,0.07074876311505907
2022,2023,3,0.10932688,0.05000522972583084,0.01755143061947692,-0.03175803812044509
2022,2023,4,0.19959839,0.17287460675788324,-0.07357979852774843,-0.0535118839521212
2022,2023,5,-0.10282762,0.04316030282920442,-0.05827516698998848,-0.05345757776636904
2022,2023,6,-0.07836684,0.05222690916283444,-0.018564033648524034,0.030959195236161332
2023,2023,7,-0.10306495,0.015409110137061338,0.030872826047862144,0.015853251431477672
2023,2023,8,0.04488393,-0.04136927634326848,-0.0018975568621157485,0.036723718188674176
2023,2023,9,-0.02011157,0.011834726002597346,-0.011395939101367034,0.02751364976726648
2023,2023,10,-0.07186575,0.0016008370867238303,0.021118736348671636,-0.012169456116296079
2023,2023,11,0.02602943,0.07043592955246393,0.00459509126495819,-0.04798467458360878
2023,2023,12,0.04241521,0.009965614311352976,-0.02822062372706087,-0.0010923125995828814
2023,2024,1,-0.05513905,0.0002572077366378468,-0.04687353699898089,-0.015432957892832975
2023,2024,2,-0.04433825,0.0030490945152213105,0.007456797137356225,0.020797110133617906
2023,2024,3,0.07515448,-0.009942375665645167,-0.01576691182150658,0.015832541854859813
2023,2024,4,-0.01752302,-0.02744181733809385,-0.02180152321722478,0.03325433480349697
2023,2024,5,-0.10139466,-0.008762102757638238,-0.013923222717886291,0.0007140256594788397
2023,2024,6,-0.0279343,-0.008250891440026702,0.0056521442277582415,0.028607718170174178
2024,2024,7,-0.02315805,-0.035095881549783145,0.008273930409338836,0.07175169800794781
2024,2024,8,-0.00998878,-0.029352445274974,-0.009742449714317158,0.017097611930322498
2024,2024,9,0.00158143,0.07413807148786514,0.013110549511860886,-0.03637733816847995
2024,2024,10,-0.05589295,-0.0262206366867793,0.003642513303735065,0.028942698539129397
2024,2024,11,0.15836747,-0.020058960553486632,-0.0013261140975000252,-0.009110521219248657
2024,2024,12,0.12740833,-0.04284690045912833,-0.01889821439176348,0.0676191535370321
2024,2025,1,-0.00027908,0.055970564805407255,0.039986138473852226,0.11265268739554825
2024,2025,2,-0.01052149,-0.04503489723247543,-0.015593692431899286,0.03831182883963026
2024,2025,3,-0.03830937,-0.00834110383270478,0.005723383696817186,0.0024535355294613183
2024,2025,4,0.12086033,0.02432926075880322,0.03158747425153305,0.00549899451315522
2024,2025,5,-0.03017412,0.05774676317972412,0.029449385543606453,0.0002027365142425186
2024,2025,6,-0.13348826,0.015828918740822533,-0.02652751999611143,-0.03209239820064676
2025,2025,7,-0.06122085,-0.01677904488844161,0.027878872436958635,0.08516766273005516
2025,2025,8,-0.11944565,0.027511642638926477,-0.014761147927563167,-0.04712436298110728
2025,2025,9,0.10990377,-0.05401582564649187,-0.0012233762450957475,0.02699618954210914
2025,2025,10,0.16831192,-0.016850790254601913,0.037523384413181926,-0.006850083888970848
2025,2025,11,0.00125884,0.014629020599958163,0.031853633935914505,-0.006899455100521042
2025,2025,12,0.21518312,-0.028627268216491475,0.028633333848744058,0.01940235268812479
2025,2026,1,-0.07526258,-0.02815195687878759,0.06904343070430535,0.09303613697345338
2025,2026,2,-0.07565384,-0.00867877954358624,-0.025621431987927698,-0.011459341605605772
2025,2026,5,0.19565165,0.018258632241146558,0.023514743117202697,0.0386070099421362
2025,2026,6,0.20158024,0.003538106696007459,-0.007122859718811325,-0.03511269146058296
